neighborhood_municipality,infections,reinfections,deaths,hospitalizations,pcr_tests,positive_pcr_tests,update_date
Sewickley Hills,658,61,0,4,1139,139,2023-04-10
Shadyside (Pittsburgh),27178,1950,27,118,62606,3952,2023-04-10
Shaler,31447,3813,62,354,48268,6643,2023-04-10
Sharpsburg,3917,433,10,65,6342,742,2023-04-10
Sheraden (Pittsburgh),6764,787,11,75,10535,1567,2023-04-10
South Fayette,29713,3624,67,128,34445,4430,2023-04-10
South Oakland (Pittsburgh),3768,319,6,34,9144,869,2023-04-10
South Park,15785,1674,19,134,23738,3379,2023-04-10
South Shore (Pittsburgh),364,24,0,1,778,76,2023-04-10
South Versailles,463,48,3,13,621,94,2023-04-10
Southside Flats (Pittsburgh),23005,1756,17,76,48218,2488,2023-04-10
Southside Slopes (Pittsburgh),5497,796,2,31,9234,1169,2023-04-10
Spring Garden (Pittsburgh),836,108,2,12,1379,188,2023-04-10
Spring Hill-City View (Pittsburgh),5665,821,15,67,9455,787,2023-04-10
Springdale Borough,3932,387,16,67,5809,822,2023-04-10
Springdale Township,1893,167,3,34,2960,414,2023-04-10
Squirrel Hill North (Pittsburgh),23113,1235,11,44,78671,2857,2023-04-10
Squirrel Hill South (Pittsburgh),31146,3079,53,183,68462,4823,2023-04-10
St. Clair (Pittsburgh),251,17,1,3,474,47,2023-04-10
Stanton Heights (Pittsburgh),6924,652,21,73,11371,1297,2023-04-10
Stowe,8520,1202,16,104,12584,1790,2023-04-10
Strip District (Pittsburgh),3147,501,2,8,6716,588,2023-04-10
Summer Hill (Pittsburgh),1358,208,3,13,1839,264,2023-04-10
Swisshelm Park (Pittsburgh),1399,95,4,15,3202,314,2023-04-10
Swissvale,11105,1324,11,143,20829,2476,2023-04-10
Tarentum,6453,1009,7,91,8698,1171,2023-04-10
Terrace Village (Pittsburgh),3232,484,5,44,6492,666,2023-04-10
Thornburg,652,89,0,2,1000,130,2023-04-10
Trafford,49,5,0,1,66,6,2023-04-10
Troy Hill (Pittsburgh),3148,274,6,31,6179,732,2023-04-10
Turtle Creek,7474,1030,21,112,10912,1377,2023-04-10
Undefined,27351,2089,69,202,101746,4117,2023-04-10
Undefined (Pittsburgh),58,0,0,0,90,12,2023-04-10
Upper Hill (Pittsburgh),3275,414,6,39,5113,589,2023-04-10
Upper Lawrenceville (Pittsburgh),3809,459,3,23,6848,668,2023-04-10
Upper Saint Clair,31258,3333,39,126,54831,5199,2023-04-10
Verona,3530,356,6,57,5331,658,2023-04-10
Versailles,2012,191,13,42,3029,471,2023-04-10
Wall,585,89,4,11,888,140,2023-04-10
West Deer,15606,1946,46,187,20453,2497,2023-04-10
West Elizabeth,510,64,1,5,640,112,2023-04-10
West End (Pittsburgh),277,21,0,4,462,76,2023-04-10
West Homestead,2551,323,4,34,4084,570,2023-04-10
West Mifflin,28596,4053,40,329,42327,6044,2023-04-10
West Oakland (Pittsburgh),5158,473,1,15,12451,586,2023-04-10
West View,7791,928,7,86,11494,1591,2023-04-10
Westwood (Pittsburgh),4151,549,5,40,5859,967,2023-04-10
Whitaker,1825,250,2,24,2496,394,2023-04-10
White Oak,10771,1524,38,191,15927,2310,2023-04-10
Whitehall,24785,2892,84,254,37042,4158,2023-04-10
Wilkins,8391,936,18,107,13400,1662,2023-04-10
Wilkinsburg,23189,3289,59,346,39951,4463,2023-04-10
Wilmerding,2677,447,5,39,3801,493,2023-04-10
Windgap (Pittsburgh),1894,212,3,14,2876,340,2023-04-10
